Date,Price,Open,High,Low,Vol.,Change %
1-Dec-19,63.2,62.3,63.6,62.3,4.36M,1.61%
28-Nov-19,62.2,62.3,63.1,61.9,5.26M,0.65%
27-Nov-19,61.8,63,63.6,61.7,6.98M,-0.96%
26-Nov-19,62.4,64.5,64.7,62.4,10.94M,-3.26%
25-Nov-19,64.5,64.1,64.6,63,6.73M,0.47%
24-Nov-19,64.2,65,65.1,64.1,4.73M,-1.08%
21-Nov-19,64.9,64.1,64.9,63.8,6.79M,1.25%
20-Nov-19,64.1,64.6,64.9,63.9,6.24M,-0.77%
19-Nov-19,64.6,64.3,65.1,64,7.46M,0.62%
18-Nov-19,64.2,63.5,64.3,63.5,5.85M,1.10%
17-Nov-19,63.5,62.4,63.5,61.6,5.50M,2.42%
14-Nov-19,62,62,63,61.7,5.71M,-0.16%
13-Nov-19,62.1,63,63.5,61.7,6.84M,-1.27%
12-Nov-19,62.9,62.9,63.5,62.6,5.34M,0.00%
11-Nov-19,62.9,62.4,63.5,62.4,7.31M,0.80%
10-Nov-19,62.4,61.3,62.6,61.3,6.40M,2.30%
7-Nov-19,61,60.3,61.6,60.2,5.84M,1.16%
6-Nov-19,60.3,60.4,60.4,60,3.90M,-0.17%
5-Nov-19,60.4,59.3,60.4,59.2,8.12M,1.85%
4-Nov-19,59.3,59.3,59.6,58.5,6.05M,0.00%
3-Nov-19,59.3,59.8,59.9,58.6,5.18M,-1.82%
31-Oct-19,60.4,60.9,61.2,60.2,5.59M,-0.98%
30-Oct-19,61,59.7,61,59,19.15M,2.35%
29-Oct-19,59.6,60.5,60.5,58.6,10.15M,-1.00%
28-Oct-19,60.2,61.8,62,60,5.34M,-2.90%
27-Oct-19,62,62,62.6,61.8,3.67M,-0.48%
24-Oct-19,62.3,62.1,62.7,61.8,4.43M,0.32%
23-Oct-19,62.1,61.8,62.3,61.3,5.40M,0.65%
22-Oct-19,61.7,60,61.8,60,8.38M,2.83%
21-Oct-19,60,60.7,60.8,59.4,5.91M,-0.99%
20-Oct-19,60.6,60.6,61.2,60.4,6.75M,1.68%
17-Oct-19,59.6,58,59.7,57.6,7.78M,3.11%
16-Oct-19,57.8,57.1,57.9,56.7,6.08M,1.23%
15-Oct-19,57.1,58.1,58.4,57.1,5.10M,-1.55%
14-Oct-19,58,58,58.5,57.6,7.20M,0.00%
13-Oct-19,58,58.1,59.7,58,4.05M,0.00%
10-Oct-19,58,58.8,59,57.4,6.33M,-1.19%
9-Oct-19,58.7,60.2,60.2,58.7,5.81M,-2.49%
8-Oct-19,60.2,61.1,61.3,59.6,5.46M,-1.31%
7-Oct-19,61,61.8,62,61,4.57M,-1.13%
6-Oct-19,61.7,61.8,62.1,61.7,2.46M,0.33%
3-Oct-19,61.5,62,62,61.3,4.29M,-1.13%
2-Oct-19,62.2,62.9,63.1,61.7,6.23M,-1.11%
1-Oct-19,62.9,63.3,63.7,62.8,7.14M,-0.63%
30-Sep-19,63.3,63,63.6,63,6.29M,0.64%
29-Sep-19,62.9,63.2,63.4,62.8,3.34M,-0.16%
26-Sep-19,63,62.5,63.4,62.4,8.53M,0.48%
25-Sep-19,62.7,63,63,62.2,6.65M,-0.32%
24-Sep-19,62.9,62.2,63,62.2,4.23M,1.29%
22-Sep-19,62.1,62.1,63,62,3.18M,-0.32%
19-Sep-19,62.3,61.1,62.3,60.7,19.23M,1.96%
18-Sep-19,61.1,60.5,61.2,60.2,7.73M,1.83%
17-Sep-19,60,59.9,60.5,59.3,6.36M,0.33%
16-Sep-19,59.8,59.5,60,58.8,7.54M,1.36%
15-Sep-19,59,58,59.3,56.8,7.24M,-1.17%
12-Sep-19,59.7,59.1,59.9,58.9,4.09M,0.34%
11-Sep-19,59.5,60.1,60.2,58.2,8.70M,-1.16%
10-Sep-19,60.2,61.1,61.3,60,6.67M,-1.95%
9-Sep-19,61.4,61,61.4,60.3,6.18M,0.66%
8-Sep-19,61,61.2,61.4,60.6,4.49M,0.33%
5-Sep-19,60.8,61,61.7,60,10.37M,0.00%
4-Sep-19,60.8,59.3,60.8,59.3,9.14M,2.70%
3-Sep-19,59.2,59.9,60.3,59.2,8.71M,-1.00%
2-Sep-19,59.8,59.1,60,58.6,11.99M,1.53%
1-Sep-19,58.9,60.4,61,58.2,12.84M,-2.64%
29-Aug-19,60.5,62.6,62.9,60.5,13.72M,-3.35%
28-Aug-19,62.6,63.5,63.9,62.5,9.46M,-2.03%
27-Aug-19,63.9,65,65.2,62.5,70.42M,-1.24%
26-Aug-19,64.7,64.9,65.1,63.6,7.11M,-0.46%
25-Aug-19,65,66.3,66.3,64.8,5.60M,-2.26%
22-Aug-19,66.5,66.4,66.8,65.5,17.07M,0.00%
21-Aug-19,66.5,67.5,67.5,66.4,5.01M,-1.34%
20-Aug-19,67.4,67.7,68,67,5.03M,-0.30%
19-Aug-19,67.6,67.2,68.2,67.2,5.54M,0.75%
18-Aug-19,67.1,67,67.4,66.6,3.12M,-0.15%
8-Aug-19,67.2,66.9,67.5,66.8,6.01M,0.30%
