Date,Price,Open,High,Low,Vol.,Change %
28-Nov-19,0.925,0.89,0.926,0.89,26.65M,4.76%
27-Nov-19,0.883,0.878,0.889,0.872,5.72M,0.57%
26-Nov-19,0.878,0.835,0.9,0.835,12.56M,4.15%
25-Nov-19,0.843,0.815,0.848,0.815,1.77M,3.44%
24-Nov-19,0.815,0.818,0.825,0.811,938.71K,-2.28%
21-Nov-19,0.834,0.825,0.834,0.815,759.76K,-0.12%
20-Nov-19,0.835,0.835,0.849,0.83,1.16M,0.60%
19-Nov-19,0.83,0.82,0.848,0.82,2.91M,0.36%
18-Nov-19,0.827,0.85,0.85,0.811,952.09K,-2.82%
17-Nov-19,0.851,0.855,0.868,0.851,590.94K,-2.18%
14-Nov-19,0.87,0.856,0.87,0.855,1.58M,1.16%
13-Nov-19,0.86,0.87,0.87,0.86,1.57M,-0.12%
12-Nov-19,0.861,0.86,0.869,0.86,751.14K,0.12%
11-Nov-19,0.86,0.874,0.874,0.86,1.49M,0.00%
10-Nov-19,0.86,0.862,0.866,0.86,2.12M,-1.38%
7-Nov-19,0.872,0.88,0.88,0.872,800.28K,0.23%
6-Nov-19,0.87,0.867,0.884,0.861,2.47M,0.35%
5-Nov-19,0.867,0.88,0.88,0.867,1.48M,-1.92%
4-Nov-19,0.884,0.876,0.888,0.876,1.15M,-1.01%
3-Nov-19,0.893,0.9,0.9,0.876,1.47M,0.68%
31-Oct-19,0.887,0.875,0.887,0.875,941.18K,1.26%
30-Oct-19,0.876,0.885,0.885,0.876,1.63M,-1.35%
29-Oct-19,0.888,0.89,0.893,0.885,2.04M,-0.78%
28-Oct-19,0.895,0.895,0.898,0.89,843.23K,-0.44%
27-Oct-19,0.899,0.899,0.9,0.895,915.87K,0.45%
24-Oct-19,0.895,0.908,0.915,0.895,558.00K,-1.54%
23-Oct-19,0.909,0.893,0.91,0.89,2.36M,1.00%
22-Oct-19,0.9,0.891,0.902,0.89,1.76M,1.12%
21-Oct-19,0.89,0.89,0.902,0.89,730.17K,0.00%
20-Oct-19,0.89,0.89,0.907,0.89,565.05K,0.00%
17-Oct-19,0.89,0.903,0.91,0.89,3.00M,-1.44%
16-Oct-19,0.903,0.903,0.929,0.903,2.73M,-0.77%
15-Oct-19,0.91,0.937,0.95,0.91,11.15M,-1.94%
14-Oct-19,0.928,0.89,0.93,0.89,19.74M,4.86%
13-Oct-19,0.885,0.89,0.891,0.875,6.50M,0.11%
10-Oct-19,0.884,0.895,0.895,0.881,2.88M,-0.67%
9-Oct-19,0.89,0.885,0.895,0.873,3.82M,1.14%
8-Oct-19,0.88,0.891,0.892,0.88,2.82M,-2.22%
7-Oct-19,0.9,0.88,0.9,0.88,7.54M,2.27%
6-Oct-19,0.88,0.858,0.89,0.858,4.97M,2.80%
3-Oct-19,0.856,0.85,0.868,0.845,1.49M,0.12%
2-Oct-19,0.855,0.853,0.868,0.85,1.90M,-1.38%
1-Oct-19,0.867,0.876,0.876,0.85,1.42M,1.40%
30-Sep-19,0.855,0.86,0.875,0.855,1.10M,0.35%
29-Sep-19,0.852,0.86,0.861,0.851,480.29K,-1.39%
26-Sep-19,0.864,0.87,0.87,0.862,204.52K,-1.26%
25-Sep-19,0.875,0.866,0.875,0.855,494.39K,0.11%
24-Sep-19,0.874,0.86,0.878,0.86,168.38K,0.46%
23-Sep-19,0.87,0.853,0.876,0.853,792.76K,1.16%
22-Sep-19,0.86,0.851,0.862,0.851,404.64K,0.00%
19-Sep-19,0.86,0.858,0.865,0.845,10.32M,-0.81%
18-Sep-19,0.867,0.875,0.88,0.859,2.73M,-0.91%
17-Sep-19,0.875,0.88,0.88,0.875,644.69K,-1.35%
16-Sep-19,0.887,0.886,0.887,0.88,429.24K,-0.11%
15-Sep-19,0.888,0.891,0.891,0.878,4.13M,-1.44%
12-Sep-19,0.901,0.901,0.904,0.893,1.95M,-0.22%
11-Sep-19,0.903,0.903,0.903,0.896,2.88M,-0.22%
10-Sep-19,0.905,0.89,0.906,0.889,1.80M,1.34%
9-Sep-19,0.893,0.891,0.896,0.886,929.08K,-0.11%
8-Sep-19,0.894,0.903,0.905,0.894,879.76K,-0.78%
5-Sep-19,0.901,0.91,0.914,0.9,2.28M,0.00%
4-Sep-19,0.901,0.915,0.915,0.9,958.53K,-1.53%
3-Sep-19,0.915,0.919,0.92,0.9,12.87M,1.10%
2-Sep-19,0.905,0.863,0.91,0.863,13.06M,4.75%
1-Sep-19,0.864,0.863,0.868,0.844,4.28M,0.47%
29-Aug-19,0.86,0.89,0.89,0.85,8.97M,-2.60%
28-Aug-19,0.883,0.888,0.897,0.883,2.21M,-0.23%
27-Aug-19,0.885,0.884,0.903,0.877,5.97M,0.57%
26-Aug-19,0.88,0.877,0.887,0.875,2.91M,1.73%
25-Aug-19,0.865,0.889,0.889,0.864,10.18M,-3.89%
22-Aug-19,0.9,0.9,0.904,0.89,2.26M,-0.88%
21-Aug-19,0.908,0.906,0.908,0.892,1.44M,0.00%
20-Aug-19,0.908,0.91,0.912,0.9,2.67M,-0.22%
19-Aug-19,0.91,0.91,0.92,0.901,1.59M,0.33%
18-Aug-19,0.907,0.891,0.911,0.891,498.89K,1.45%
15-Aug-19,0.894,0.909,0.909,0.873,2.72M,-3.04%
14-Aug-19,0.922,0.931,0.944,0.922,3.26M,-1.71%
8-Aug-19,0.938,0.947,0.948,0.927,5.56M,-0.95%
7-Aug-19,0.947,0.929,0.948,0.929,14.35M,3.16%
6-Aug-19,0.918,0.9,0.934,0.891,6.12M,0.88%
5-Aug-19,0.91,0.885,0.91,0.862,18.65M,0.11%
4-Aug-19,0.909,0.93,0.937,0.9,6.63M,-2.88%
1-Aug-19,0.936,0.931,0.95,0.922,8.83M,-0.95%
31-Jul-19,0.945,0.951,0.96,0.911,35.23M,-0.53%
30-Jul-19,0.95,0.91,0.958,0.892,18.04M,5.09%
29-Jul-19,0.904,0.841,0.909,0.841,14.19M,6.23%
28-Jul-19,0.851,0.831,0.855,0.83,7.87M,1.31%
25-Jul-19,0.84,0.837,0.849,0.828,8.27M,0.12%
24-Jul-19,0.839,0.78,0.84,0.772,29.99M,7.56%
23-Jul-19,0.78,0.763,0.78,0.755,13.07M,3.31%
22-Jul-19,0.755,0.748,0.768,0.746,7.61M,0.67%
21-Jul-19,0.75,0.76,0.768,0.75,8.88M,-1.45%
18-Jul-19,0.761,0.734,0.765,0.73,16.44M,5.26%
17-Jul-19,0.723,0.726,0.731,0.72,2.32M,-0.28%
16-Jul-19,0.725,0.725,0.744,0.725,4.56M,0.42%
15-Jul-19,0.722,0.726,0.73,0.721,1.36M,0.28%
14-Jul-19,0.72,0.714,0.725,0.706,5.34M,1.12%
11-Jul-19,0.712,0.713,0.715,0.712,967.17K,0.14%
10-Jul-19,0.711,0.714,0.72,0.71,3.56M,-0.56%
9-Jul-19,0.715,0.71,0.715,0.705,968.17K,1.13%
8-Jul-19,0.707,0.703,0.715,0.703,1.31M,0.28%
7-Jul-19,0.705,0.71,0.716,0.703,1.41M,0.14%
4-Jul-19,0.704,0.71,0.711,0.704,1.32M,-0.85%
3-Jul-19,0.71,0.705,0.714,0.705,710.01K,0.00%
2-Jul-19,0.71,0.71,0.71,0.704,1.29M,0.71%
1-Jul-19,0.705,0.712,0.712,0.702,2.44M,-0.70%
30-Jun-19,0.71,0.717,0.717,0.708,981.97K,0.57%
27-Jun-19,0.706,0.716,0.723,0.705,5.99M,-0.98%
26-Jun-19,0.713,0.703,0.715,0.703,1.23M,1.13%
25-Jun-19,0.705,0.703,0.71,0.703,4.86M,0.28%
24-Jun-19,0.703,0.701,0.715,0.7,2.33M,-0.57%
23-Jun-19,0.707,0.7,0.719,0.7,612.09K,-1.39%
20-Jun-19,0.717,0.71,0.719,0.71,2.98M,1.99%
19-Jun-19,0.703,0.7,0.71,0.7,1.37M,0.86%
18-Jun-19,0.697,0.699,0.705,0.696,415.13K,-0.85%
17-Jun-19,0.703,0.7,0.71,0.697,250.51K,0.86%
16-Jun-19,0.697,0.71,0.71,0.697,198.50K,-1.83%
13-Jun-19,0.71,0.705,0.712,0.69,1.67M,-1.11%
12-Jun-19,0.718,0.72,0.72,0.7,5.61M,-0.28%
11-Jun-19,0.72,0.725,0.725,0.72,789.10K,-0.69%
10-Jun-19,0.725,0.734,0.737,0.723,1.96M,0.69%
9-Jun-19,0.72,0.735,0.74,0.71,6.54M,1.27%
30-May-19,0.711,0.71,0.73,0.704,3.63M,-0.14%
29-May-19,0.712,0.7,0.73,0.7,7.05M,1.71%
28-May-19,0.7,0.685,0.7,0.682,4.31M,2.19%
27-May-19,0.685,0.672,0.685,0.669,1.22M,-0.72%
26-May-19,0.69,0.698,0.698,0.665,400.66K,-0.29%
23-May-19,0.692,0.68,0.695,0.67,2.42M,-0.29%
22-May-19,0.694,0.668,0.694,0.668,1.11M,2.21%
21-May-19,0.679,0.655,0.679,0.655,1.02M,3.66%
20-May-19,0.655,0.65,0.675,0.65,2.11M,-0.76%
19-May-19,0.66,0.684,0.684,0.65,8.76M,-4.35%
16-May-19,0.69,0.693,0.714,0.69,6.93M,-0.72%
15-May-19,0.695,0.728,0.728,0.695,1.69M,-4.66%
14-May-19,0.729,0.68,0.729,0.668,6.13M,8.81%
13-May-19,0.67,0.72,0.728,0.66,7.45M,-7.07%
12-May-19,0.721,0.742,0.742,0.721,1.06M,-3.99%
9-May-19,0.751,0.756,0.756,0.74,1.33M,1.49%
8-May-19,0.74,0.761,0.763,0.74,729.60K,-1.33%
7-May-19,0.75,0.752,0.76,0.749,2.46M,-2.22%
6-May-19,0.767,0.757,0.768,0.757,734.66K,0.13%
5-May-19,0.766,0.783,0.783,0.764,942.08K,-2.05%
2-May-19,0.782,0.771,0.783,0.77,228.00K,1.43%
1-May-19,0.771,0.771,0.783,0.77,826.07K,0.00%
30-Apr-19,0.771,0.771,0.783,0.771,1.31M,0.00%
29-Apr-19,0.771,0.79,0.796,0.771,3.79M,-2.65%
28-Apr-19,0.792,0.791,0.799,0.791,427.44K,-0.75%
25-Apr-19,0.798,0.79,0.798,0.79,4.57M,0.38%
24-Apr-19,0.795,0.797,0.805,0.791,1.10M,-0.38%
23-Apr-19,0.798,0.804,0.807,0.791,4.22M,-2.09%
22-Apr-19,0.815,0.83,0.836,0.806,9.85M,-1.81%
21-Apr-19,0.83,0.829,0.837,0.825,7.57M,0.61%
18-Apr-19,0.825,0.828,0.829,0.816,4.27M,0.86%
17-Apr-19,0.818,0.8,0.829,0.8,8.23M,2.89%
