Date,Price,Open,High,Low,Vol.,Change %
1-Dec-19,"1,400.44","1,402.00","1,408.62","1,400.44",75.87M,-0.11%
28-Nov-19,"1,402.00","1,392.96","1,403.36","1,392.95",73.47M,0.65%
27-Nov-19,"1,392.96","1,398.27","1,399.57","1,392.88",52.05M,-0.38%
26-Nov-19,"1,398.27","1,410.58","1,410.63","1,398.27",104.50M,-0.87%
25-Nov-19,"1,410.58","1,417.56","1,420.29","1,409.71",91.12M,-0.49%
24-Nov-19,"1,417.56","1,427.50","1,427.50","1,417.56",47.15M,-0.70%
21-Nov-19,"1,427.50","1,427.33","1,432.48","1,424.63",115.46M,0.01%
20-Nov-19,"1,427.33","1,421.38","1,428.15","1,421.19",180.64M,0.42%
19-Nov-19,"1,421.38","1,424.99","1,427.83","1,421.38",117.98M,-0.25%
18-Nov-19,"1,424.99","1,438.68","1,438.72","1,424.99",102.93M,-0.95%
17-Nov-19,"1,438.68","1,447.79","1,448.75","1,438.68",99.07M,-0.63%
14-Nov-19,"1,447.79","1,451.05","1,452.88","1,440.57",136.79M,-0.22%
13-Nov-19,"1,451.05","1,453.93","1,454.68","1,450.49",104.40M,-0.20%
12-Nov-19,"1,453.93","1,462.21","1,462.59","1,453.93",174.00M,-0.57%
11-Nov-19,"1,462.21","1,459.57","1,467.39","1,459.57",187.84M,0.18%
7-Nov-19,"1,459.57","1,452.61","1,461.12","1,452.61",117.61M,0.48%
6-Nov-19,"1,452.61","1,452.44","1,459.20","1,452.24",125.57M,0.01%
5-Nov-19,"1,452.44","1,445.11","1,454.51","1,445.11",135.44M,0.51%
4-Nov-19,"1,445.11","1,445.28","1,449.42","1,445.09",158.80M,-0.01%
3-Nov-19,"1,445.28","1,436.86","1,449.53","1,436.86",150.86M,0.59%
31-Oct-19,"1,436.86","1,430.99","1,438.40","1,430.99",240.91M,0.41%
30-Oct-19,"1,430.99","1,427.51","1,434.64","1,427.51",161.38M,0.24%
29-Oct-19,"1,427.51","1,414.10","1,428.07","1,414.10",226.26M,0.95%
28-Oct-19,"1,414.10","1,407.41","1,415.56","1,406.59",194.26M,0.48%
27-Oct-19,"1,407.41","1,406.50","1,411.79","1,406.50",179.69M,0.06%
24-Oct-19,"1,406.50","1,400.15","1,407.92","1,399.00",146.95M,0.45%
23-Oct-19,"1,400.15","1,413.96","1,413.96","1,398.09",146.95M,-0.98%
22-Oct-19,"1,413.96","1,417.02","1,418.55","1,413.94",173.21M,-0.22%
21-Oct-19,"1,417.02","1,418.44","1,422.34","1,417.00",128.04M,-0.10%
20-Oct-19,"1,418.44","1,414.96","1,422.05","1,414.96",92.76M,0.25%
17-Oct-19,"1,414.96","1,407.49","1,415.04","1,407.49",235.23M,0.53%
16-Oct-19,"1,407.49","1,390.54","1,407.49","1,390.54",190.34M,1.22%
15-Oct-19,"1,390.54","1,405.95","1,406.21","1,390.40",118.80M,-1.10%
14-Oct-19,"1,405.95","1,412.05","1,416.08","1,405.91",159.28M,-0.43%
13-Oct-19,"1,412.05","1,408.54","1,414.32","1,408.54",91.61M,0.25%
10-Oct-19,"1,408.54","1,397.69","1,411.30","1,397.69",146.15M,0.78%
9-Oct-19,"1,397.69","1,406.24","1,406.24","1,395.84",131.55M,-0.61%
8-Oct-19,"1,406.24","1,416.31","1,421.92","1,406.24",215.85M,-0.71%
7-Oct-19,"1,416.31","1,396.19","1,417.55","1,396.19",201.35M,1.44%
3-Oct-19,"1,396.19","1,388.14","1,396.29","1,369.06",248.44M,0.58%
2-Oct-19,"1,388.14","1,414.61","1,417.19","1,388.14",189.88M,-1.87%
1-Oct-19,"1,414.61","1,393.07","1,416.21","1,393.07",167.96M,1.55%
30-Sep-19,"1,393.07","1,389.72","1,394.98","1,388.23",200.49M,0.24%
29-Sep-19,"1,389.72","1,339.59","1,390.21","1,339.59",486.19M,3.74%
26-Sep-19,"1,339.59","1,327.30","1,344.19","1,327.30",231.19M,0.93%
25-Sep-19,"1,327.30","1,293.67","1,327.69","1,293.67",185.46M,2.60%
24-Sep-19,"1,293.67","1,334.65","1,334.65","1,293.45",266.00M,-3.07%
23-Sep-19,"1,334.65","1,358.04","1,358.04","1,334.65",244.57M,-1.72%
22-Sep-19,"1,358.04","1,439.86","1,439.86","1,357.50",-,-5.68%
19-Sep-19,"1,439.86","1,440.43","1,444.07","1,438.57",191.34M,-0.04%
18-Sep-19,"1,440.43","1,443.67","1,446.51","1,438.62",133.20M,-0.22%
17-Sep-19,"1,443.67","1,467.24","1,469.94","1,443.62",252.37M,-1.61%
16-Sep-19,"1,467.24","1,474.16","1,474.16","1,459.74",170.03M,-0.47%
15-Sep-19,"1,474.16","1,480.62","1,484.83","1,474.16",109.19M,-0.44%
12-Sep-19,"1,480.62","1,481.07","1,483.16","1,479.63",150.87M,-0.03%
11-Sep-19,"1,481.07","1,481.80","1,486.66","1,480.95",129.55M,-0.05%
10-Sep-19,"1,481.80","1,473.45","1,486.39","1,473.45",116.13M,0.57%
9-Sep-19,"1,473.45","1,477.42","1,481.16","1,473.04",137.99M,-0.27%
8-Sep-19,"1,477.42","1,469.49","1,480.68","1,469.49",116.56M,0.54%
5-Sep-19,"1,469.49","1,466.87","1,472.33","1,465.30",155.82M,0.18%
4-Sep-19,"1,466.87","1,469.08","1,473.89","1,466.85",155.21M,-0.15%
3-Sep-19,"1,469.08","1,477.93","1,482.74","1,469.08",151.34M,-0.60%
