Date,Price,Open,High,Low,Change %
29-Nov-19,1.1017,1.1012,1.1028,1.0982,0.07%
28-Nov-19,1.1009,1.0999,1.102,1.0999,0.09%
27-Nov-19,1.0999,1.1019,1.1025,1.0991,-0.19%
26-Nov-19,1.102,1.1014,1.1027,1.1007,0.05%
25-Nov-19,1.1014,1.1024,1.1033,1.1003,-0.09%
22-Nov-19,1.1024,1.1059,1.1087,1.1015,-0.32%
21-Nov-19,1.1059,1.1074,1.1098,1.1052,-0.13%
20-Nov-19,1.1073,1.1078,1.1082,1.1052,-0.05%
19-Nov-19,1.1079,1.1071,1.1084,1.1062,0.06%
18-Nov-19,1.1072,1.1052,1.1092,1.1048,0.18%
15-Nov-19,1.1052,1.1022,1.1059,1.1015,0.26%
14-Nov-19,1.1023,1.1006,1.1029,1.0989,0.15%
13-Nov-19,1.1007,1.101,1.1021,1.0994,-0.02%
12-Nov-19,1.1009,1.1033,1.104,1.1003,-0.22%
11-Nov-19,1.1033,1.1022,1.1044,1.1016,0.14%
8-Nov-19,1.1018,1.105,1.1057,1.1017,-0.29%
7-Nov-19,1.105,1.1065,1.1092,1.1035,-0.15%
6-Nov-19,1.1067,1.1075,1.1095,1.1065,-0.07%
5-Nov-19,1.1075,1.1126,1.114,1.1062,-0.48%
4-Nov-19,1.1128,1.1167,1.1177,1.1125,-0.35%
1-Nov-19,1.1167,1.1152,1.1173,1.1128,0.13%
31-Oct-19,1.1152,1.1151,1.1176,1.1131,0.02%
30-Oct-19,1.115,1.1112,1.1153,1.108,0.34%
29-Oct-19,1.1112,1.1099,1.112,1.1074,0.11%
28-Oct-19,1.11,1.1082,1.1109,1.1076,0.18%
25-Oct-19,1.108,1.1105,1.1124,1.1073,-0.22%
24-Oct-19,1.1104,1.113,1.1162,1.1092,-0.24%
23-Oct-19,1.1131,1.1124,1.114,1.1105,0.05%
22-Oct-19,1.1125,1.1149,1.1158,1.1117,-0.22%
21-Oct-19,1.1149,1.1142,1.118,1.1136,-0.20%
18-Oct-19,1.1171,1.1126,1.1174,1.1115,0.42%
17-Oct-19,1.1124,1.1073,1.1141,1.1065,0.47%
16-Oct-19,1.1072,1.1033,1.1087,1.1022,0.35%
15-Oct-19,1.1033,1.1029,1.1047,1.0991,0.04%
14-Oct-19,1.1029,1.1043,1.1049,1.1012,-0.12%
11-Oct-19,1.1042,1.1006,1.1064,1.1001,0.33%
10-Oct-19,1.1006,1.0972,1.1036,1.0971,0.32%
9-Oct-19,1.0971,1.0957,1.0991,1.0952,0.14%
8-Oct-19,1.0956,1.0971,1.0997,1.0941,-0.14%
7-Oct-19,1.0971,1.0975,1.1001,1.0961,-0.06%
4-Oct-19,1.0978,1.0964,1.0999,1.0957,0.11%
3-Oct-19,1.0966,1.0959,1.1001,1.0941,0.06%
2-Oct-19,1.0959,1.0932,1.0964,1.0903,0.25%
1-Oct-19,1.0932,1.0901,1.0944,1.0879,0.29%
30-Sep-19,1.09,1.094,1.0949,1.0885,-0.36%
27-Sep-19,1.0939,1.092,1.0959,1.0904,0.16%
26-Sep-19,1.0922,1.0942,1.0968,1.0908,-0.19%
25-Sep-19,1.0943,1.102,1.1025,1.0938,-0.70%
24-Sep-19,1.102,1.0994,1.1026,1.0984,0.25%
23-Sep-19,1.0993,1.1016,1.1027,1.0966,-0.23%
20-Sep-19,1.1018,1.1041,1.1069,1.0995,-0.21%
19-Sep-19,1.1041,1.1029,1.1074,1.1022,0.10%
18-Sep-19,1.103,1.1072,1.1076,1.1013,-0.39%
17-Sep-19,1.1073,1.1,1.1076,1.099,0.65%
16-Sep-19,1.1002,1.1087,1.1093,1.0994,-0.66%
13-Sep-19,1.1075,1.1064,1.1111,1.1055,0.11%
12-Sep-19,1.1063,1.1011,1.1088,1.0927,0.48%
11-Sep-19,1.101,1.1043,1.1056,1.0984,-0.30%
10-Sep-19,1.1043,1.1045,1.1059,1.103,-0.05%
9-Sep-19,1.1048,1.1024,1.1069,1.1016,0.17%
6-Sep-19,1.1029,1.1035,1.1058,1.102,-0.05%
5-Sep-19,1.1035,1.1037,1.1086,1.1017,0.00%
4-Sep-19,1.1035,1.0974,1.1038,1.0969,0.56%
3-Sep-19,1.0974,1.097,1.098,1.0926,0.05%
2-Sep-19,1.0968,1.099,1.1,1.0958,-0.21%
30-Aug-19,1.0991,1.1058,1.1062,1.0963,-0.60%
29-Aug-19,1.1057,1.1078,1.1093,1.1042,-0.19%
28-Aug-19,1.1078,1.109,1.1099,1.1072,-0.12%
27-Aug-19,1.1091,1.1101,1.1116,1.1084,-0.10%
