Date,Price,Open,High,Low,Vol.,Change %
29-Nov-19,"1,472.70","1,461.20","1,472.90","1,459.10",-,0.71%
28-Nov-19,"1,462.25","1,463.25","1,464.55","1,460.75",-,0.10%
27-Nov-19,"1,460.80","1,468.30","1,469.10","1,459.10",232.12K,-0.45%
26-Nov-19,"1,467.40","1,461.30","1,470.00","1,456.60",285.63K,0.25%
25-Nov-19,"1,463.80","1,467.50","1,468.90","1,460.70",126.74K,-0.46%
22-Nov-19,"1,470.50","1,470.90","1,480.30","1,468.10",81.55K,0.00%
21-Nov-19,"1,470.50","1,481.30","1,482.70","1,469.40",75.50K,-0.71%
20-Nov-19,"1,481.00","1,481.40","1,486.00","1,473.00",58.28K,-0.01%
19-Nov-19,"1,481.20","1,477.90","1,482.60","1,471.80",35.81K,0.16%
18-Nov-19,"1,478.80","1,475.10","1,481.10","1,463.30",33.19K,0.23%
15-Nov-19,"1,475.40","1,478.70","1,478.90","1,469.80",31.13K,-0.32%
14-Nov-19,"1,480.20","1,471.70","1,482.20","1,468.70",43.48K,0.68%
13-Nov-19,"1,470.20","1,463.80","1,474.80","1,463.80",43.67K,0.66%
12-Nov-19,"1,460.60","1,463.00","1,468.10","1,453.10",94.34K,0.24%
11-Nov-19,"1,457.10","1,460.00","1,467.40","1,448.90",310.16K,-0.40%
8-Nov-19,"1,462.90","1,469.00","1,473.90","1,457.00",447.07K,-0.24%
7-Nov-19,"1,466.40","1,492.10","1,493.60","1,461.40",674.98K,-1.79%
6-Nov-19,"1,493.10","1,484.30","1,495.90","1,483.80",313.72K,0.63%
5-Nov-19,"1,483.70","1,511.60","1,511.90","1,480.70",593.62K,-1.81%
4-Nov-19,"1,511.10","1,516.40","1,517.10","1,506.50",260.20K,-0.02%
1-Nov-19,"1,511.40","1,515.10","1,519.00","1,505.40",380.99K,-0.22%
31-Oct-19,"1,514.80","1,498.80","1,516.70","1,496.00",390.01K,1.21%
30-Oct-19,"1,496.70","1,490.50","1,499.30","1,483.10",353.64K,0.40%
29-Oct-19,"1,490.70","1,494.30","1,497.10","1,485.60",291.98K,-0.34%
28-Oct-19,"1,495.80","1,507.40","1,510.80","1,492.30",318.13K,-0.63%
25-Oct-19,"1,505.30","1,506.40","1,520.90","1,503.10",368.74K,0.04%
24-Oct-19,"1,504.70","1,495.10","1,506.90","1,490.40",305.01K,0.60%
23-Oct-19,"1,495.70","1,491.10","1,499.40","1,490.70",244.62K,0.55%
22-Oct-19,"1,487.50","1,487.50","1,492.10","1,484.00",208.97K,-0.04%
21-Oct-19,"1,488.10","1,495.60","1,498.70","1,484.80",284.29K,-0.40%
18-Oct-19,"1,494.10","1,495.60","1,497.90","1,488.30",232.55K,-0.28%
17-Oct-19,"1,498.30","1,494.20","1,501.10","1,487.00",305.67K,0.29%
16-Oct-19,"1,494.00","1,484.80","1,495.50","1,480.60",367.90K,0.71%
