Date,Price,Open,High,Low,Change %
29-Nov-19,"5,082.24","5,082.76","5,093.76","5,051.65",-0.05%
28-Nov-19,"5,084.91","5,084.50","5,097.82","5,059.38",-0.08%
27-Nov-19,"5,089.10","5,102.92","5,118.91","5,080.28",-0.27%
26-Nov-19,"5,102.65","5,136.48","5,149.43","5,089.45",-0.63%
25-Nov-19,"5,135.20","5,140.06","5,150.54","5,125.39",0.00%
22-Nov-19,"5,135.20","5,112.59","5,172.16","5,112.59",0.30%
21-Nov-19,"5,120.09","5,106.81","5,124.43","5,088.28",0.29%
20-Nov-19,"5,105.48","5,087.72","5,123.44","5,053.19",0.13%
19-Nov-19,"5,098.99","5,076.05","5,102.99","5,066.91",0.52%
18-Nov-19,"5,072.67","5,144.78","5,151.96","5,061.18",-1.18%
15-Nov-19,"5,133.27","5,118.72","5,138.48","5,098.20",0.33%
14-Nov-19,"5,116.44","5,129.51","5,143.29","5,080.77",-0.13%
13-Nov-19,"5,123.25","5,137.15","5,137.91","5,094.95",-0.58%
12-Nov-19,"5,153.24","5,170.63","5,206.78","5,137.90",-0.27%
11-Nov-19,"5,167.12","5,157.50","5,174.49","5,143.54",-0.04%
8-Nov-19,"5,169.35","5,182.52","5,184.02","5,143.68",-0.53%
7-Nov-19,"5,196.86","5,143.83","5,200.44","5,126.32",0.95%
6-Nov-19,"5,147.86","5,109.25","5,147.86","5,076.84",0.80%
5-Nov-19,"5,106.81","5,082.14","5,114.72","5,079.18",0.89%
1-Nov-19,"5,061.91","4,999.43","5,061.91","4,977.23",1.28%
31-Oct-19,"4,998.17","5,047.98","5,074.34","4,984.40",-0.78%
30-Oct-19,"5,037.54","4,975.42","5,037.54","4,969.64",1.09%
29-Oct-19,"4,983.03","4,936.19","4,983.26","4,915.83",0.96%
28-Oct-19,"4,935.79","4,968.60","5,015.66","4,918.72",-0.52%
25-Oct-19,"4,961.61","4,969.03","4,972.92","4,922.13",-0.10%
24-Oct-19,"4,966.47","4,914.88","4,966.47","4,908.95",1.11%
23-Oct-19,"4,912.01","4,880.95","4,922.66","4,861.41",0.49%
22-Oct-19,"4,887.82","4,848.74","4,887.82","4,840.83",0.95%
21-Oct-19,"4,841.73","4,825.73","4,841.73","4,809.01",0.35%
18-Oct-19,"4,824.99","4,804.59","4,833.74","4,794.81",0.40%
17-Oct-19,"4,805.81","4,788.24","4,815.29","4,782.53",0.36%
16-Oct-19,"4,788.47","4,729.06","4,792.41","4,729.06",1.30%
15-Oct-19,"4,726.93","4,694.71","4,726.93","4,688.73",0.74%
14-Oct-19,"4,692.01","4,726.80","4,730.80","4,684.21",-0.65%
11-Oct-19,"4,722.73","4,696.89","4,731.43","4,695.78",0.36%
10-Oct-19,"4,705.79","4,683.23","4,710.53","4,661.06",0.19%
9-Oct-19,"4,696.85","4,675.66","4,710.58","4,672.06",0.45%
8-Oct-19,"4,675.69","4,705.88","4,713.82","4,670.65",-0.65%
7-Oct-19,"4,706.43","4,677.75","4,718.71","4,659.42",0.71%
4-Oct-19,"4,673.24","4,701.98","4,726.38","4,663.82",-0.89%
3-Oct-19,"4,715.36","4,727.79","4,746.30","4,699.33",-0.22%
2-Oct-19,"4,725.74","4,788.58","4,796.36","4,723.84",-1.43%
1-Oct-19,"4,794.35","4,787.10","4,829.17","4,785.37",0.23%
30-Sep-19,"4,783.55","4,775.32","4,786.10","4,758.75",0.25%
27-Sep-19,"4,771.78","4,788.07","4,795.69","4,771.78",-0.37%
26-Sep-19,"4,789.42","4,767.81","4,803.20","4,761.70",0.50%
25-Sep-19,"4,765.47","4,745.39","4,765.47","4,723.44",0.25%
24-Sep-19,"4,753.72","4,806.59","4,819.16","4,748.18",-1.03%
23-Sep-19,"4,803.32","4,818.51","4,818.51","4,774.75",-0.39%
20-Sep-19,"4,822.34","4,827.52","4,830.57","4,788.30",-0.10%
19-Sep-19,"4,827.23","4,858.65","4,859.97","4,819.34",-0.67%
18-Sep-19,"4,859.98","4,844.38","4,864.83","4,839.13",0.21%
17-Sep-19,"4,849.56","4,871.33","4,891.94","4,830.87",-0.46%
16-Sep-19,"4,872.04","4,828.04","4,872.04","4,813.53",1.54%
13-Sep-19,"4,798.20","4,819.25","4,821.79","4,783.48",-0.49%
12-Sep-19,"4,821.61","4,836.73","4,847.17","4,799.33",-0.30%
11-Sep-19,"4,835.94","4,804.20","4,845.07","4,793.46",0.64%
10-Sep-19,"4,805.23","4,786.24","4,807.34","4,756.18",0.38%
9-Sep-19,"4,787.07","4,813.76","4,828.71","4,771.31",-0.42%
6-Sep-19,"4,807.37","4,821.34","4,821.71","4,784.35",-0.26%
5-Sep-19,"4,819.92","4,818.16","4,841.15","4,801.07",0.41%
4-Sep-19,"4,800.23","4,751.25","4,806.54","4,748.38",1.48%
3-Sep-19,"4,730.22","4,752.82","4,756.69","4,700.03",-0.53%
2-Sep-19,"4,755.60","4,719.18","4,764.15","4,710.15",1.01%
30-Aug-19,"4,708.06","4,669.01","4,712.77","4,665.43",0.90%
29-Aug-19,"4,665.93","4,620.58","4,667.83","4,620.58",1.05%
28-Aug-19,"4,617.37","4,586.73","4,619.03","4,579.82",0.69%
27-Aug-19,"4,585.89","4,583.68","4,586.67","4,556.95",0.15%
26-Aug-19,"4,578.88","4,567.64","4,603.24","4,553.53",-0.27%
23-Aug-19,"4,591.29","4,622.56","4,632.87","4,583.50",-0.47%
22-Aug-19,"4,612.98","4,606.64","4,623.70","4,584.93",0.10%
21-Aug-19,"4,608.21","4,611.38","4,618.72","4,595.47",0.16%
20-Aug-19,"4,600.70","4,581.58","4,609.60","4,569.87",0.53%
19-Aug-19,"4,576.54","4,546.14","4,581.86","4,531.33",1.12%
16-Aug-19,"4,525.90","4,568.65","4,581.67","4,525.90",-0.56%
15-Aug-19,"4,551.31","4,577.06","4,590.07","4,535.54",-0.41%
14-Aug-19,"4,569.83","4,657.83","4,663.35","4,556.29",-1.66%
13-Aug-19,"4,646.92","4,663.99","4,676.54","4,625.45",-0.42%
12-Aug-19,"4,666.45","4,661.81","4,679.84","4,649.81",0.32%
9-Aug-19,"4,651.59","4,689.15","4,693.44","4,649.83",-0.84%
8-Aug-19,"4,691.03","4,691.12","4,712.61","4,683.40",0.70%
7-Aug-19,"4,658.35","4,684.76","4,710.75","4,643.47",-0.58%
6-Aug-19,"4,685.59","4,636.36","4,693.10","4,636.36",1.18%
5-Aug-19,"4,631.07","4,657.34","4,681.22","4,623.83",-0.79%
2-Aug-19,"4,668.07","4,715.92","4,733.29","4,668.07",-1.83%
1-Aug-19,"4,755.32","4,777.26","4,793.20","4,747.22",-0.89%
31-Jul-19,"4,797.87","4,800.15","4,816.30","4,777.23",0.06%
30-Jul-19,"4,794.98","4,781.40","4,794.98","4,757.66",0.34%
29-Jul-19,"4,778.50","4,763.40","4,787.33","4,757.73",0.44%
26-Jul-19,"4,757.62","4,753.06","4,784.86","4,749.69",0.02%
25-Jul-19,"4,756.79","4,719.08","4,786.14","4,697.80",0.76%
24-Jul-19,"4,720.81","4,764.74","4,767.73","4,711.05",-0.63%
23-Jul-19,"4,750.80","4,730.25","4,771.10","4,723.05",0.51%
22-Jul-19,"4,726.55","4,745.38","4,764.51","4,714.04",-0.45%
19-Jul-19,"4,747.86","4,766.51","4,788.89","4,747.76",-0.04%
18-Jul-19,"4,749.53","4,747.69","4,769.27","4,735.75",-0.17%
17-Jul-19,"4,757.67","4,768.36","4,789.00","4,748.44",-0.95%
16-Jul-19,"4,803.17","4,821.91","4,822.89","4,776.28",-0.45%
15-Jul-19,"4,825.01","4,845.03","4,857.99","4,814.84",-0.21%
12-Jul-19,"4,835.40","4,849.46","4,851.65","4,790.74",-0.72%
11-Jul-19,"4,870.45","4,929.48","4,935.21","4,850.32",-1.04%
10-Jul-19,"4,921.72","4,922.47","4,947.17","4,903.15",0.08%
9-Jul-19,"4,917.73","4,919.33","4,939.12","4,908.64",-0.05%
8-Jul-19,"4,920.06","4,884.89","4,922.59","4,866.62",0.40%
5-Jul-19,"4,900.53","4,907.13","4,915.01","4,891.46",-0.12%
4-Jul-19,"4,906.54","4,847.52","4,907.28","4,842.41",1.23%
3-Jul-19,"4,847.09","4,831.51","4,853.46","4,813.49",0.33%
2-Jul-19,"4,831.36","4,824.40","4,832.65","4,804.02",0.19%
1-Jul-19,"4,822.38","4,783.92","4,844.43","4,783.92",1.24%
28-Jun-19,"4,763.40","4,787.81","4,798.11","4,760.22",-0.50%
27-Jun-19,"4,787.15","4,811.47","4,831.13","4,777.92",-0.47%
