Date,Price,High,Low,Close,Adj Close,Vol.
4-Jan-06,16294.65039,16361.54004,16250.75977,16361.54004,16361.54004,94300
5-Jan-06,16441.26953,16474.51953,16368.50977,16425.36914,16425.36914,164500
6-Jan-06,16408.31055,16479.55078,16320.42969,16428.21094,16428.21094,170400
9-Jan-06,null,null,null,null,null,null
10-Jan-06,16487.05078,16487.05078,16124.34961,16124.34961,16124.34961,154600
11-Jan-06,16164.91992,16363.58984,16005.24023,16363.58984,16363.58984,146200
12-Jan-06,16426.68945,16472.99023,16310.4502,16445.18945,16445.18945,129700
13-Jan-06,16454.32031,16490.26953,16383.23047,16454.94922,16454.94922,137500
16-Jan-06,16360.04004,16387.63086,16221.58984,16268.03027,16268.03027,109900
17-Jan-06,16152.07031,16324.16992,15805.9502,15805.9502,15805.9502,140300
18-Jan-06,15725.63965,15725.63965,15059.51953,15341.17969,15341.17969,192400
19-Jan-06,15396.59961,15740.82031,15396.59961,15696.28027,15696.28027,148000
20-Jan-06,15847.16992,15875.38965,15597.76953,15696.69043,15696.69043,123900
23-Jan-06,15497.61035,15564.90039,15312.70996,15360.65039,15360.65039,108400
24-Jan-06,15470.91016,15685.13965,15470.38965,15648.88965,15648.88965,94500
25-Jan-06,15725.75977,15849.51953,15651,15651,15651,143700
26-Jan-06,15783.7002,15891.01953,15764.88965,15891.01953,15891.01953,121800
27-Jan-06,16079.94043,16460.67969,16079.91992,16460.67969,16460.67969,153900
30-Jan-06,16615.91016,16754.59961,16538.7207,16551.23047,16551.23047,203400
31-Jan-06,16603.90039,16718.78906,16561.31055,16649.82031,16649.82031,143200
1-Feb-06,16594.90039,16671.91016,16480.08984,16480.08984,16480.08984,160300
2-Feb-06,16632.59961,16736.17969,16611.5293,16710.55078,16710.55078,158600
3-Feb-06,16596.21094,16665.09961,16567.86914,16659.64063,16659.64063,124900
6-Feb-06,16736.23047,16777.36914,16578.18945,16747.75977,16747.75977,120200
7-Feb-06,16768.16016,16769.36914,16681.03906,16720.99023,16720.99023,151500
8-Feb-06,16609.96094,16682.91016,16272.67969,16272.67969,16272.67969,134400
9-Feb-06,16444.74023,16540.49023,16351.42969,16439.66992,16439.66992,130700
10-Feb-06,16525.5,16525.5,16090.92969,16257.83008,16257.83008,180300
13-Feb-06,16191.92969,16191.92969,15877.66016,15877.66016,15877.66016,143800
14-Feb-06,15845.19043,16184.87012,15691.86035,16184.87012,16184.87012,149100
15-Feb-06,16302.94043,16312.74023,15932.83008,15932.83008,15932.83008,123300
16-Feb-06,15901.37988,16109.2002,15842,16043.66992,16043.66992,116200
17-Feb-06,16078.50977,16129.94043,15702.66992,15713.4502,15713.4502,121600
20-Feb-06,15620.58008,15661.84961,15389.58008,15437.92969,15437.92969,128800
21-Feb-06,15602.83008,15894.94043,15573.70996,15894.94043,15894.94043,126700
22-Feb-06,15882.63965,15923,15679.91016,15781.78027,15781.78027,145700
23-Feb-06,15908.87012,16096.09961,15892.50977,16096.09961,16096.09961,121300
24-Feb-06,16034.66992,16118.11035,15947.04004,16101.91016,16101.91016,122900
27-Feb-06,16156.15039,16290.15039,16123.29004,16192.9502,16192.9502,152600
28-Feb-06,16218.62012,16229.67969,15953.32031,16205.42969,16205.42969,154400
1-Mar-06,16026.82031,16053.29981,15910.65039,15964.45996,15964.45996,139300
2-Mar-06,16068.75977,16106.25977,15879.70996,15909.75977,15909.75977,118200
3-Mar-06,15835.42969,15897.29004,15658.63965,15663.33984,15663.33984,111200
6-Mar-06,15668.62988,15901.16016,15609.79981,15901.16016,15901.16016,99900
7-Mar-06,15864.57031,15864.57031,15678.12012,15726.01953,15726.01953,113100
8-Mar-06,15657.79004,15720.65039,15553.13965,15627.49023,15627.49023,113400
9-Mar-06,15645.29981,16049.61035,15645.29981,16036.91016,16036.91016,117800
10-Mar-06,16007.41016,16264.88965,15982.01953,16115.62988,16115.62988,166700
13-Mar-06,16264.58984,16379.46973,16242.16016,16361.50977,16361.50977,94700
14-Mar-06,16401.10938,16410.28906,16238.36035,16238.36035,16238.36035,94600
15-Mar-06,16342.51953,16367.75977,16291.76953,16319.04004,16319.04004,89700
16-Mar-06,16354.70996,16356.49023,16032.54981,16096.20996,16096.20996,97400
17-Mar-06,16172.74023,16339.73047,16106.37988,16339.73047,16339.73047,90600
20-Mar-06,16299.34961,16667.13086,16299.34961,16624.80078,16624.80078,102200
21-Mar-06,null,null,null,null,null,null
22-Mar-06,16578.5,16583.25,16477.25977,16495.48047,16495.48047,122700
23-Mar-06,16605.48047,16661.14063,16464.4707,16489.36914,16489.36914,98900
24-Mar-06,16501.5,16612.51953,16462.4707,16560.86914,16560.86914,80800
27-Mar-06,16599.91992,16711.16016,16599.91992,16650.09961,16650.09961,92600
28-Mar-06,16550.4707,16690.24023,16463.94922,16690.24023,16690.24023,95600
29-Mar-06,16670.38086,16976.28906,16613.7207,16938.41016,16938.41016,109100
30-Mar-06,17011.13086,17125.64063,16974.4707,17045.33984,17045.33984,140500
31-Mar-06,17088.75977,17094.60938,16995.76953,17059.66016,17059.66016,100600
3-Apr-06,17127.60938,17387.08008,17105.5,17333.31055,17333.31055,129600
4-Apr-06,17295.58008,17410.30078,17266.39063,17292.91016,17292.91016,115400
5-Apr-06,17340.14063,17464.53906,17187.34961,17243.98047,17243.98047,125800
6-Apr-06,17365.57031,17489.33008,17347.00977,17489.33008,17489.33008,111400
7-Apr-06,17498.88086,17563.36914,17418.93945,17563.36914,17563.36914,118000
10-Apr-06,17455.0293,17489.60938,17385.25,17456.58008,17456.58008,103900
11-Apr-06,17460.67969,17489.16016,17295.41992,17418.13086,17418.13086,111600
12-Apr-06,17297.17969,17325.21094,17162,17162.55078,17162.55078,117500
13-Apr-06,17232.2793,17303.26953,17068.96094,17199.15039,17199.15039,101200
14-Apr-06,17319.33008,17319.33008,17149.08008,17233.82031,17233.82031,89500
17-Apr-06,17233.73047,17233.73047,17000.35938,17000.35938,17000.35938,78300
18-Apr-06,16971.75977,17268.05078,16945.30078,17232.85938,17232.85938,98400
19-Apr-06,17405.91992,17459.24023,17350.11914,17350.11914,17350.11914,104500
20-Apr-06,17391.93945,17412.58984,17283.9707,17317.5293,17317.5293,96200
21-Apr-06,17332.34961,17479.73047,17258.49023,17403.96094,17403.96094,109000
24-Apr-06,17245.61914,17245.61914,16892.15039,16914.40039,16914.40039,110600
25-Apr-06,16929.35938,17000.19922,16787.43945,16970.28906,16970.28906,103400
26-Apr-06,16993.23047,17107.92969,16944.53906,17055.92969,17055.92969,105100
27-Apr-06,17118.91992,17176.06055,17094.7207,17114.53906,17114.53906,103600
28-Apr-06,17039.36914,17043.66992,16750.5,16906.23047,16906.23047,112500
1-May-06,16929.83008,16965.33008,16868.68945,16925.71094,16925.71094,79600
2-May-06,16920.13086,17188.53906,16900.33008,17153.76953,17153.76953,89300
3-May-06,null,null,null,null,null,null
4-May-06,null,null,null,null,null,null
5-May-06,null,null,null,null,null,null
8-May-06,17334.18945,17375.25,17248.58984,17291.66992,17291.66992,121000
9-May-06,17253.81055,17294.5,17178.94922,17190.91016,17190.91016,116600
10-May-06,17161.4707,17253.10938,16883.39063,16951.92969,16951.92969,127600
11-May-06,16887.36914,17087,16840.84961,16862.14063,16862.14063,110100
12-May-06,16655.98047,16655.98047,16422.49023,16601.7793,16601.7793,131700
15-May-06,16395.88086,16486.91016,16317.2002,16486.91016,16486.91016,118700
16-May-06,16508.89063,16596.48047,16116.73047,16158.41992,16158.41992,134500
17-May-06,16259.01953,16319.29981,16033.66016,16307.66992,16307.66992,147800
18-May-06,16089.25,16139.13965,15914.38965,16087.17969,16087.17969,131800
19-May-06,16041.17969,16166.33984,15925.69043,16155.4502,16155.4502,125000
22-May-06,16254.55957,16268.50977,15837.25977,15857.87012,15857.87012,126400
23-May-06,15722.04981,15776.2002,15582.86035,15599.2002,15599.2002,137300
24-May-06,15676.63965,15907.2002,15508.50977,15907.2002,15907.2002,136200
25-May-06,15809.33008,15849.23047,15644.62012,15693.75,15693.75,104500
26-May-06,15827.87012,15970.75977,15819.32031,15970.75977,15970.75977,101900
29-May-06,16111.54004,16111.54004,15885.07031,15915.67969,15915.67969,96700
30-May-06,15920.79004,15937.91016,15814.83008,15859.4502,15859.4502,86400
31-May-06,15660.87012,15660.87012,15442.53027,15467.33008,15467.33008,114500
1-Jun-06,15603.25,15655,15417.50977,15503.74023,15503.74023,102500
2-Jun-06,15600.28027,15789.30957,15266.96973,15789.30957,15789.30957,141200
5-Jun-06,15719.30957,15784.9502,15622.75,15668.30957,15668.30957,89700
6-Jun-06,15500.91992,15507.78027,15340.92969,15384.86035,15384.86035,96300
7-Jun-06,15285.04981,15433.29004,15095.15039,15096.00977,15096.00977,122100
8-Jun-06,14990.04004,14990.04004,14496.95996,14633.03027,14633.03027,171400
9-Jun-06,14530.5,14825.48047,14389.30957,14750.83984,14750.83984,219300
12-Jun-06,14685.45996,14845.04004,14580.87012,14833.00977,14833.00977,116000
13-Jun-06,14650.58984,14658.23047,14218.59961,14218.59961,14218.59961,118500
14-Jun-06,14084.51953,14458.82031,14045.53027,14309.55957,14309.55957,146000
15-Jun-06,14453.33008,14593.84961,14417.7002,14470.75977,14470.75977,112600
16-Jun-06,14679.34961,14976.66992,14679.34961,14879.33984,14879.33984,130200
19-Jun-06,14815.86035,14918.59961,14772.13965,14860.34961,14860.34961,86300
20-Jun-06,14811.11035,14845.70996,14621.87012,14648.41016,14648.41016,91800
21-Jun-06,14712.86035,14713.42969,14482.95996,14644.25977,14644.25977,95000
22-Jun-06,14812.16992,15138.46973,14812.16992,15135.69043,15135.69043,109000
23-Jun-06,15001.76953,15126.51953,14865.57031,15124.04004,15124.04004,98100
26-Jun-06,15080.23047,15216.78027,14987.76953,15152.40039,15152.40039,93200
27-Jun-06,15165.62988,15207.37988,15095.11035,15171.80957,15171.80957,94000
28-Jun-06,14998.00977,14998.00977,14824.79981,14886.11035,14886.11035,96500
29-Jun-06,14981.7002,15137.58008,14975.78027,15121.15039,15121.15039,87700
30-Jun-06,15333.09961,15521.21973,15333.09961,15505.17969,15505.17969,108900
3-Jul-06,15573.34961,15617.21973,15513.29004,15571.62012,15571.62012,102700
4-Jul-06,15677.04004,15710.38965,15617.80957,15638.5,15638.5,90900
5-Jul-06,15504.16992,15584.62012,15479.92969,15523.94043,15523.94043,89600
6-Jul-06,15455.17969,15460.83008,15278.17969,15321.40039,15321.40039,94600
7-Jul-06,15428.32031,15437.04004,15276.15039,15307.61035,15307.61035,90400
10-Jul-06,15149.91016,15555.42969,15079.74023,15552.80957,15552.80957,111300
11-Jul-06,15485.25977,15498.2002,15333.58984,15473.82031,15473.82031,102100
12-Jul-06,15405.41992,15463.71973,15169.15039,15249.32031,15249.32031,111400
13-Jul-06,15127.74023,15370.34961,15053.61035,15097.9502,15097.9502,111800
14-Jul-06,14914.00977,14997.4502,14815.90039,14845.24023,14845.24023,114200
17-Jul-06,null,null,null,null,null,null
18-Jul-06,14714.17969,14747.2002,14437.24023,14437.24023,14437.24023,128100
19-Jul-06,14503.83008,14625.63965,14456.42969,14500.25977,14500.25977,116200
20-Jul-06,14713.55957,14962.12988,14705.42969,14946.83984,14946.83984,107000
21-Jul-06,14825.16016,14867.80957,14784.24023,14821.25977,14821.25977,91100
24-Jul-06,14700.58008,14851.91016,14560.66992,14794.5,14794.5,98400
25-Jul-06,14970.59961,15078.36035,14948.36035,15005.24023,15005.24023,99300
26-Jul-06,15065.57031,15108.13965,14882.66992,14884.07031,14884.07031,94600
27-Jul-06,14883.5,15220.33008,14839.49023,15179.78027,15179.78027,109700
28-Jul-06,15217.44043,15351.79004,15150.53027,15342.87012,15342.87012,112900
31-Jul-06,15462.38965,15536.32031,15433.2002,15456.80957,15456.80957,109400
1-Aug-06,15387.51953,15522.03027,15365.70996,15440.91016,15440.91016,93000
2-Aug-06,15341.53027,15466.07031,15287.80957,15464.29004,15464.29004,95600
3-Aug-06,15527.26953,15580.91016,15441.66992,15470.37012,15470.37012,87000
4-Aug-06,15502.55957,15555.90039,15435.33008,15499.17969,15499.17969,89100
7-Aug-06,15494.46973,15516.24023,15154.05957,15154.05957,15154.05957,90000
8-Aug-06,15234.38965,15476.94043,15189.09961,15464.66016,15464.66016,89200
9-Aug-06,15417.01953,15659.41016,15240.29981,15656.58984,15656.58984,111500
10-Aug-06,15585.08984,15690.86035,15536.15039,15630.91016,15630.91016,105900
11-Aug-06,15622.24023,15681.40039,15555.59961,15565.01953,15565.01953,113500
14-Aug-06,15550.95996,15873.20996,15549.66992,15857.11035,15857.11035,82800
15-Aug-06,15831.69043,15913.33984,15807.71973,15816.19043,15816.19043,98500
16-Aug-06,15970.59961,16085.07031,15962.98047,16071.36035,16071.36035,113500
17-Aug-06,16142.55957,16204.59961,16008.44043,16020.83984,16020.83984,154600
18-Aug-06,16052.58008,16169.83984,16022.12012,16105.98047,16105.98047,122500
21-Aug-06,16104.5,16145.5,15936.61035,15969.04004,15969.04004,91900
22-Aug-06,15994.99023,16244.83984,15994.99023,16181.16992,16181.16992,100300
23-Aug-06,16161.82031,16226.58984,16118.12012,16163.03027,16163.03027,92600
24-Aug-06,16088.54004,16089.12988,15910.62012,15960.62012,15960.62012,86800
25-Aug-06,15955.75977,16156.78027,15874.62988,15938.66016,15938.66016,87000
28-Aug-06,15953.08008,16005.08984,15745.00977,15762.58984,15762.58984,88000
29-Aug-06,15881.91992,15946.41992,15811.73047,15890.55957,15890.55957,77400
30-Aug-06,15929.90039,15962.92969,15769.16016,15872.01953,15872.01953,95500
31-Aug-06,15884.61035,16207.41016,15882.25977,16140.75977,16140.75977,112200
1-Sep-06,16072.80957,16158.48047,16029.55957,16134.25,16134.25,100200
4-Sep-06,16280.17969,16414.93945,16280.17969,16358.07031,16358.07031,109100
5-Sep-06,16357.29004,16403.90039,16280.67969,16385.96094,16385.96094,109300
6-Sep-06,16350.26953,16400.71094,16245.16016,16284.08984,16284.08984,126000
7-Sep-06,16141.94043,16141.94043,15944.03027,16012.41016,16012.41016,115600
8-Sep-06,15907.96973,16156.17969,15831.75,16080.45996,16080.45996,163100
11-Sep-06,16053.12988,16053.12988,15772.07031,15794.37988,15794.37988,97800
12-Sep-06,15843.79981,15882.37988,15675.37012,15719.33984,15719.33984,117000
13-Sep-06,15889.5,15965.30957,15730.66992,15750.04981,15750.04981,108600
14-Sep-06,15831.71973,15994.79004,15801.87988,15942.38965,15942.38965,101900
15-Sep-06,15872.29004,15907.03027,15763.90039,15866.92969,15866.92969,85500
18-Sep-06,null,null,null,null,null,null
19-Sep-06,15948.46973,16096.17969,15867.04981,15874.28027,15874.28027,96600
20-Sep-06,15757.96973,15763.66992,15622.28027,15718.66992,15718.66992,103000
21-Sep-06,15820.11035,15859.20996,15674.83984,15834.23047,15834.23047,93400
22-Sep-06,15706.84961,15735.25977,15580.19043,15634.66992,15634.66992,92900
25-Sep-06,15550.55957,15691.05957,15513.87012,15633.80957,15633.80957,98200
26-Sep-06,15594.48047,15666.9502,15517.90039,15557.4502,15557.4502,76500
27-Sep-06,15692.98047,15947.87012,15681.44043,15947.87012,15947.87012,97500
28-Sep-06,15970.38965,16032.98047,15911.21973,16024.84961,16024.84961,86900
29-Sep-06,16097.08008,16127.58008,16007.37012,16127.58008,16127.58008,83400
2-Oct-06,16169,16329.24023,16157.98047,16254.29004,16254.29004,102600
3-Oct-06,16198.54981,16260.46973,16148.88965,16242.08984,16242.08984,90900
4-Oct-06,16288.91992,16363.12012,16028.32031,16082.54981,16082.54981,124900
5-Oct-06,16291.79004,16481.31055,16286.63965,16449.33008,16449.33008,125800
6-Oct-06,16444.71094,16457.91992,16360.63965,16436.06055,16436.06055,96800
9-Oct-06,null,null,null,null,null,null
10-Oct-06,16325.48047,16620.15039,16325.48047,16477.25,16477.25,104500
11-Oct-06,16497.26953,16595.91016,16399.74023,16400.57031,16400.57031,115500
12-Oct-06,16386.36914,16495.53906,16343.49023,16368.80957,16368.80957,106500
13-Oct-06,16494.49023,16586.33008,16493.64063,16536.53906,16536.53906,121600
16-Oct-06,16663.2207,16732.43945,16648.42969,16692.75977,16692.75977,90100
17-Oct-06,16704.85938,16704.85938,16561.25977,16611.58984,16611.58984,93600
18-Oct-06,16519.91016,16666.19922,16466.74023,16653,16653,93500
19-Oct-06,16673.25977,16688.96094,16506.2207,16551.35938,16551.35938,86400
20-Oct-06,16556.08984,16663.60938,16552.35938,16651.63086,16651.63086,86500
23-Oct-06,16641.32031,16797.71094,16598.5293,16788.82031,16788.82031,92300
24-Oct-06,16853.73047,16901.5293,16759.98047,16780.4707,16780.4707,111400
25-Oct-06,16837.80078,16849.05078,16697.00977,16699.30078,16699.30078,114600
26-Oct-06,16794.41016,16863.24023,16772.31055,16811.59961,16811.59961,114500
27-Oct-06,16879.33008,16879.33008,16643.91016,16669.07031,16669.07031,111800
30-Oct-06,16544.5,16549.71094,16329.88965,16351.84961,16351.84961,119000
31-Oct-06,16389.44922,16477.06055,16314.29004,16399.39063,16399.39063,104400
1-Nov-06,16338.71973,16444.50977,16246.24023,16375.25977,16375.25977,103800
2-Nov-06,16281.9502,16350.01953,16209.13965,16350.01953,16350.01953,99000
3-Nov-06,null,null,null,null,null,null
6-Nov-06,16278.78027,16398.50977,16204.12988,16364.75977,16364.75977,104200
7-Nov-06,16509.78906,16512.50977,16378.71973,16393.41016,16393.41016,95800
8-Nov-06,16404.05078,16423.83008,16199.42969,16215.74023,16215.74023,121600
9-Nov-06,16218.86035,16286.25977,16094.49023,16198.57031,16198.57031,109400
10-Nov-06,16133.91016,16280.66016,16104.74023,16112.42969,16112.42969,130100
13-Nov-06,16016.41992,16067.45996,15913.86035,16022.49023,16022.49023,107600
14-Nov-06,16178.80957,16318.04981,16176.01953,16289.54981,16289.54981,112900
15-Nov-06,16348.74023,16373.48047,16243.46973,16243.46973,16243.46973,103300
16-Nov-06,16292.48047,16367.09961,16143.7002,16163.87012,16163.87012,94400
17-Nov-06,16182.30957,16238.25977,16067.26953,16091.73047,16091.73047,107100
20-Nov-06,16004.33984,16036.17969,15725.94043,15725.94043,15725.94043,116300
21-Nov-06,15766.42969,15817.73047,15696.21973,15734.13965,15734.13965,100100
22-Nov-06,15680.53027,15914.23047,15675.48047,15914.23047,15914.23047,104200
23-Nov-06,null,null,null,null,null,null
24-Nov-06,15784.25977,15789.88965,15639.19043,15734.59961,15734.59961,90600
27-Nov-06,15615.55957,15912.11035,15615.55957,15885.37988,15885.37988,94800
28-Nov-06,15711.71973,15855.25977,15653.69043,15855.25977,15855.25977,114100
29-Nov-06,15948.69043,16126.34961,15945.07031,16076.2002,16076.2002,115200
30-Nov-06,16183.29981,16274.33008,16152.84961,16274.33008,16274.33008,119100
1-Dec-06,16313.01953,16376.29981,16242.00977,16321.78027,16321.78027,111800
4-Dec-06,16263.98047,16362.04004,16185.91992,16303.58984,16303.58984,108600
5-Dec-06,16370.55957,16400.14063,16239.28027,16265.75977,16265.75977,121400
6-Dec-06,16309.79981,16401.31055,16254.4502,16371.28027,16371.28027,109800
7-Dec-06,16461.91016,16550.73047,16416.30078,16473.35938,16473.35938,102200
8-Dec-06,16429.80078,16493,16387.80078,16417.82031,16417.82031,175700
11-Dec-06,16487.30078,16608.9707,16470.40039,16527.99023,16527.99023,115000
12-Dec-06,16621.68945,16682.65039,16583.7793,16637.7793,16637.7793,121100
13-Dec-06,16609.25,16692.92969,16589.73047,16692.92969,16692.92969,105500
14-Dec-06,16714.33984,16829.19922,16714.33984,16829.19922,16829.19922,94600
15-Dec-06,16927.93945,16959.91016,16858.34961,16914.31055,16914.31055,106200
18-Dec-06,16962.65039,16993.88086,16930.55078,16962.10938,16962.10938,107500
19-Dec-06,16883.85938,16954.83008,16754.21094,16776.88086,16776.88086,113000
