Date,Price
28-Nov-19,63.94
27-Nov-19,64.4
26-Nov-19,63.92
25-Nov-19,64.21
22-Nov-19,64.56
21-Nov-19,63.68
20-Nov-19,62.22
19-Nov-19,62.51
18-Nov-19,63.44
15-Nov-19,63.12
14-Nov-19,63
13-Nov-19,62.48
12-Nov-19,62.82
11-Nov-19,62.26
8-Nov-19,61.98
7-Nov-19,62.32
6-Nov-19,62.39
5-Nov-19,62.57
4-Nov-19,62
1-Nov-19,60.19
31-Oct-19,60.52
30-Oct-19,61.24
29-Oct-19,61.44
28-Oct-19,61.65
25-Oct-19,62.16
24-Oct-19,61.63
23-Oct-19,60.42
22-Oct-19,59.78
21-Oct-19,59.5
18-Oct-19,60.06
17-Oct-19,59.54
16-Oct-19,59.28
15-Oct-19,59.62
14-Oct-19,59.95
11-Oct-19,60.97
10-Oct-19,58.74
9-Oct-19,58.68
8-Oct-19,58.56
7-Oct-19,59.12
4-Oct-19,58.62
3-Oct-19,57.99
2-Oct-19,58.75
1-Oct-19,59.68
30-Sep-19,61.09
27-Sep-19,62.51
26-Sep-19,62.31
25-Sep-19,62.35
24-Sep-19,63.93
23-Sep-19,64.51
20-Sep-19,65.3
19-Sep-19,64.39
18-Sep-19,64.57
17-Sep-19,67.88
16-Sep-19,66.43
13-Sep-19,60.02
12-Sep-19,60.51
11-Sep-19,62.08
10-Sep-19,62.74
9-Sep-19,62
6-Sep-19,60.75
5-Sep-19,60.58
4-Sep-19,58.97
3-Sep-19,57.81
2-Sep-19,58.76
30-Aug-19,60.11
29-Aug-19,60.24
28-Aug-19,60.16
27-Aug-19,58.98
26-Aug-19,59.18
23-Aug-19,59.67
22-Aug-19,60.5
21-Aug-19,60.66
20-Aug-19,59.94
19-Aug-19,59.46
16-Aug-19,59.03
15-Aug-19,58.77
14-Aug-19,59.88
13-Aug-19,59.34
12-Aug-19,57.84
9-Aug-19,57.88
8-Aug-19,57.38
7-Aug-19,57.7
6-Aug-19,59.59
5-Aug-19,60.41
2-Aug-19,61.55
1-Aug-19,63.37
31-Jul-19,65.53
30-Jul-19,64.62
29-Jul-19,63.79
26-Jul-19,64.02
25-Jul-19,64.55
24-Jul-19,64.58
23-Jul-19,63.92
22-Jul-19,64.27
19-Jul-19,62.93
18-Jul-19,63.1
17-Jul-19,64.6
16-Jul-19,66.13
15-Jul-19,66.79
12-Jul-19,67.36
11-Jul-19,67.57
10-Jul-19,66.1
9-Jul-19,64.35
8-Jul-19,64.72
5-Jul-19,63.55
4-Jul-19,63.43
3-Jul-19,62.69
2-Jul-19,63.95
1-Jul-19,65.71
28-Jun-19,65.6
27-Jun-19,65.61
26-Jun-19,65.6
25-Jun-19,64.79
24-Jun-19,65.05
21-Jun-19,65.29
