Date,Price,Open,High,Low,Vol.,Change %
28-Nov-19,91,89.7,91,89.5,2.18M,1.45%
27-Nov-19,89.7,91,91.2,89,2.26M,-0.66%
26-Nov-19,90.3,93,93.1,90.3,3.50M,-3.01%
25-Nov-19,93.1,93.3,93.5,92.3,2.27M,-0.43%
24-Nov-19,93.5,94.5,94.6,93.5,985.29K,-0.64%
21-Nov-19,94.1,95,95,93.6,1.93M,-0.84%
20-Nov-19,94.9,94.1,95,93.1,2.01M,0.74%
19-Nov-19,94.2,92,94.2,91.8,2.49M,2.39%
18-Nov-19,92,92,93.1,91.5,2.79M,0.00%
17-Nov-19,92,92.7,93.3,90.7,1.39M,-0.76%
14-Nov-19,92.7,92.4,93.7,92.2,1.67M,0.00%
13-Nov-19,92.7,94.3,94.4,92.5,1.70M,-1.80%
12-Nov-19,94.4,93,94.6,92.6,2.15M,1.51%
11-Nov-19,93,91.8,93,91.6,1.87M,1.64%
10-Nov-19,91.5,90.8,92.6,90.8,2.01M,1.10%
7-Nov-19,90.5,89,91.8,89,2.88M,1.12%
6-Nov-19,89.5,89,89.5,88.5,2.11M,1.13%
5-Nov-19,88.5,86.4,89.4,86.2,3.92M,2.55%
4-Nov-19,86.3,86.4,86.8,85.4,1.61M,-0.12%
3-Nov-19,86.4,87.7,87.7,84.6,1.76M,-1.48%
31-Oct-19,87.7,87.9,87.9,87.4,1.73M,-0.23%
30-Oct-19,87.9,87.2,87.9,86.6,2.48M,0.80%
29-Oct-19,87.2,89.1,89.1,86.7,3.07M,-2.13%
28-Oct-19,89.1,88.9,89.4,88.5,1.88M,0.22%
27-Oct-19,88.9,89.3,89.8,87.8,2.01M,-1.22%
24-Oct-19,90,89.8,90.1,89.3,1.99M,0.00%
23-Oct-19,90,90.2,90.3,89.4,1.23M,-0.22%
22-Oct-19,90.2,90,90.8,89.1,2.06M,0.11%
21-Oct-19,90.1,91,91.2,89.2,1.73M,-0.88%
20-Oct-19,90.9,91,92.4,90.9,1.59M,0.44%
17-Oct-19,90.5,87,90.5,86.8,2.31M,4.02%
16-Oct-19,87,87.3,87.6,86.2,2.39M,-0.34%
