Date,Price,Open,High,Low,Vol.,Change %
1-Dec-19,20.28,20.16,20.28,20.08,119.33K,0.00%
28-Nov-19,20.28,20.28,20.48,19.84,1.09M,0.40%
27-Nov-19,20.2,20.44,20.62,20.16,521.35K,-1.17%
26-Nov-19,20.44,20.74,20.82,20.34,4.01M,-0.49%
25-Nov-19,20.54,20.7,20.88,20.54,640.82K,-0.77%
24-Nov-19,20.7,20.74,20.74,20.7,111.39K,-0.19%
21-Nov-19,20.74,20.72,20.84,20.72,417.77K,-0.77%
20-Nov-19,20.9,20.78,20.9,20.76,346.53K,0.10%
19-Nov-19,20.88,20.68,20.88,20.68,622.26K,1.06%
18-Nov-19,20.66,20.78,20.82,20.66,732.30K,-0.58%
17-Nov-19,20.78,20.68,20.9,20.66,358.55K,-0.57%
14-Nov-19,20.9,20.68,20.9,20.68,1.05M,0.29%
13-Nov-19,20.84,20.76,20.84,20.6,607.70K,0.29%
12-Nov-19,20.78,20.56,20.8,20.54,1.77M,0.87%
11-Nov-19,20.6,20.56,20.62,20.54,488.63K,-0.48%
10-Nov-19,20.7,20.9,20.9,20.5,333.29K,-0.96%
7-Nov-19,20.9,20.9,20.9,20.82,447.65K,0.00%
6-Nov-19,20.9,20.9,20.94,20.8,428.22K,-0.19%
5-Nov-19,20.94,20.48,20.94,20.46,956.11K,1.06%
4-Nov-19,20.72,20.3,20.72,20.28,540.59K,1.57%
3-Nov-19,20.4,20.5,20.52,20.4,386.21K,-1.83%
31-Oct-19,20.78,20.32,20.78,20.32,791.38K,0.39%
30-Oct-19,20.7,20.5,20.7,20.34,597.99K,0.00%
29-Oct-19,20.7,20.6,20.74,19.96,1.46M,-0.48%
28-Oct-19,20.8,20.8,20.8,20.62,304.00K,-0.19%
27-Oct-19,20.84,20.9,20.96,20.76,253.24K,0.39%
24-Oct-19,20.76,20.52,20.78,20.52,724.98K,0.00%
23-Oct-19,20.76,20.78,20.78,20.44,530.12K,0.87%
22-Oct-19,20.58,20.28,20.7,20,761.74K,1.58%
21-Oct-19,20.26,20.1,20.26,19.84,611.38K,0.70%
20-Oct-19,20.12,19.8,20.12,19.62,464.88K,2.97%
17-Oct-19,19.54,19.5,19.54,19.2,845.21K,0.00%
16-Oct-19,19.54,19.7,19.86,19.08,1.01M,-1.71%
15-Oct-19,19.88,20.24,20.26,19.76,672.78K,-2.64%
14-Oct-19,20.42,20.22,20.46,20.22,3.43M,0.49%
13-Oct-19,20.32,20.36,20.5,20.3,387.79K,-0.88%
10-Oct-19,20.5,20.22,20.5,20.14,947.14K,0.69%
9-Oct-19,20.36,20.56,20.56,20.2,656.13K,-0.29%
8-Oct-19,20.42,20.3,20.5,20.22,774.25K,0.69%
7-Oct-19,20.28,20.1,20.6,20.1,2.07M,-1.27%
6-Oct-19,20.54,20.6,20.88,20.54,410.58K,-0.87%
3-Oct-19,20.72,20.78,20.8,20.7,681.46K,-0.38%
2-Oct-19,20.8,21.02,21.02,20.78,1.10M,-0.67%
1-Oct-19,20.94,21.22,21.44,20.94,896.82K,-1.69%
30-Sep-19,21.3,20.92,21.4,20.92,2.50M,1.82%
29-Sep-19,20.92,20.94,21,20.88,603.20K,-0.38%
26-Sep-19,21,20.84,21.04,20.74,1.51M,0.48%
25-Sep-19,20.9,20.8,20.9,20.68,1.38M,0.48%
24-Sep-19,20.8,20.8,20.98,20.68,1.77M,-0.38%
