Date,Price,Open,High,Low,Vol.,Change %
1-Dec-19,93,93.2,94.1,92.8,692.04K,-0.21%
28-Nov-19,93.2,93.9,93.9,92.6,762.82K,-0.75%
27-Nov-19,93.9,95,95,92.8,934.01K,-0.74%
26-Nov-19,94.6,96.1,96.4,94.6,1.40M,-1.36%
25-Nov-19,95.9,97.8,98.4,95.9,808.49K,-1.94%
24-Nov-19,97.8,99.9,99.9,97.2,483.52K,-1.91%
21-Nov-19,99.7,100.2,100.2,99,477.21K,-0.30%
20-Nov-19,100,100,100.6,99.6,863.04K,0.50%
19-Nov-19,99.5,98.9,100.2,98,693.40K,0.71%
18-Nov-19,98.8,98.7,99.1,98,399.37K,0.82%
17-Nov-19,98,99.2,99.2,97.5,160.13K,-1.01%
14-Nov-19,99,97,100.2,96.6,895.84K,2.06%
13-Nov-19,97,97.8,98.5,96.6,733.95K,-0.72%
12-Nov-19,97.7,96.1,98.5,96,940.29K,1.77%
11-Nov-19,96,95.9,96.4,95.4,1.13M,0.10%
10-Nov-19,95.9,96.8,98.1,95.9,1.12M,-0.10%
7-Nov-19,96,96.2,97.4,95.7,548.83K,-0.52%
6-Nov-19,96.5,97,97,96,307.66K,-0.21%
5-Nov-19,96.7,95,97.4,94.7,624.26K,1.79%
4-Nov-19,95,94,95,93.5,480.80K,0.96%
3-Nov-19,94.1,95.4,95.4,93.5,538.99K,-1.77%
31-Oct-19,95.8,97.5,97.5,95.6,668.69K,-1.74%
30-Oct-19,97.5,96.6,97.6,96.1,621.45K,-0.10%
29-Oct-19,97.6,98.6,98.8,96,702.42K,-1.41%
28-Oct-19,99,99.6,99.6,98.6,377.12K,-0.30%
27-Oct-19,99.3,99.9,100.4,99.2,246.83K,-0.40%
24-Oct-19,99.7,100.2,100.4,99.4,569.44K,-0.50%
23-Oct-19,100.2,101,101.2,99.7,1.28M,-0.79%
22-Oct-19,101,101.6,102.8,100.6,1.00M,0.00%
21-Oct-19,101,102.2,102.2,100.4,567.93K,-0.98%
20-Oct-19,102,101.2,103.4,101.2,638.52K,2.10%
17-Oct-19,99.9,99.5,100.2,99,751.03K,0.71%
16-Oct-19,99.2,99.5,100.2,98.2,829.40K,-0.10%
15-Oct-19,99.3,99.6,99.7,99.2,445.01K,-0.30%
14-Oct-19,99.6,100,100.8,99.4,1.72M,-0.40%
13-Oct-19,100,100.6,101.6,100,388.89K,-0.99%
